sentiments,cleaned_review,cleaned_review_length,review_score
positive,what really liked was the usb to type adapter which allowed me to plug usb memory sticks into my smart phone ,21,5.0
neutral,second one same issue the mouse wheel just stops working do not order this product learn from my mistakes ,19,5.0
negative,piece of junk already broken irritated,6,1.0
positive,love this little mouse for work the clicking is soft and quiet so it not annoying when clicking on my computer all day the color is pretty too and love the lights ,32,5.0
neutral,battery life sucks,3,2.0
neutral,the roller on top of the mouse quits working or falls down in the mouse the colors and lights are fun but the mouse itself is defective have had at this point and will not buy another ,37,1.0
neutral,i was so excited when got my mouse in to go with my laptop and it didn even work had it charge over night while it was off and still wouldn connect ,32,1.0
neutral,the mouse was great it worked very good at first but one day it suddenly stopped charging so haven used it in while ,23,1.0
positive,i absolutely love this mouse great color matches my laptop perfectly love the color changing mode so fun ,18,5.0
neutral,sleek look and battery lasts extremely long ve only had to charge it once since getting it highly recommend ,19,1.0
positive, feels great wide and comfortable lights up when you move around likes so much bought second one too ,18,5.0
negative,do not recommend bought it two months ago and the roller part already broke and it is now useless,19,1.0
positive,i got this mouse to use with my laptop and it great glides easily holds charge for quite while and enters sleep mode when not in use to wake the mouse up you just right or left click the changing lights are great and fun touch,46,5.0
neutral,everything,1,2.0
positive,lights are multicolored and are nice goes to sleep on its own and is great smooth and works fine until it breaks had it months and days and suddenly while scrolling the wheel broke,34,1.0
negative,this is the worst mouse ever it hard to glide and it goes dead very fast wish could return it ,20,5.0
negative,worthless to spend min trouble shooting every time need to use it ,12,2.0
neutral,the center scroll wheel lasted less than week the mouse itself still works but it is aggravating that every time you use muscle memory to scroll with wheel that doesn work decent battery life bought new different brand mouse to replace it the mouse also doesn have much of an arch to it so its not very ergonomic its better than laptop track pad though ,65,2.0
positive,i love this mouse love how quite it is when use it love the sleep feature on it as well have nothing bad to say about it use it for my online schooling ,33,1.0
